"","Index","Sentiment","Mixed","Negative","Neutral","Positive","X1","created_at","text","source","is_retweet","retweet_count","quote_count"
"1",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,1,2020-11-29 23:55:07,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter Web App",TRUE,546,NA
"2",0,"POSITIVE",0.00244759907945991,0.0201059281826019,0.0797135531902313,0.897732973098755,2,2020-11-29 23:52:24,"A spectacular reminder (for those who need one) that God can do Anything. Huge crash at #BahreinGP. Longtime fans haven't seen a crash this bad in decades. And driver emerges Alive!//t.co/ewYgLiDccE","Twitter for iPhone",TRUE,184,NA
"3",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,3,2020-11-29 23:51:26,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for iPhone",TRUE,546,NA
"4",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,4,2020-11-29 23:50:56,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for iPhone",TRUE,546,NA
"5",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,5,2020-11-29 23:47:18,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for iPhone",TRUE,546,NA
"6",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,6,2020-11-29 23:47:09,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for Android",TRUE,546,NA
"7",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,7,2020-11-29 23:46:04,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for Android",TRUE,546,NA
"8",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,8,2020-11-29 23:44:26,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter Web App",TRUE,546,NA
"9",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,9,2020-11-29 23:42:17,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for iPhone",TRUE,546,NA
"10",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,10,2020-11-29 23:38:24,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for Android",TRUE,546,NA
"11",0,"POSITIVE",4.28829516749829e-05,0.000300791143672541,0.0589207261800766,0.940735578536987,11,2020-11-29 23:36:59,"And this is why Daniel Ricciardo continues to be one of my favourite drivers #BahreinGP//t.co/cPMfVGlX6C","Twitter for iPhone",TRUE,546,NA
